,id,statement_code,category_code,statement_content,direction_code,parent_statement_code,attributes,statement_level,serial_number,create_user,create_time,modify_user,modify_time,del_stat,version_no
69,812,1096120110002008,1095120100000006,工作地点,1095120110000007,1095120110000007,,1,1,zstx,2023-12-03 13:44:50,qidekang,2024-01-21 14:26:09,0,0
70,813,1096120110003004,1095120100000006,学校宿舍,1095120110000007,1095120110000007,,1,8,zstx,2023-12-03 13:44:59,qidekang,2024-01-21 14:26:09,0,0
71,814,1096120110004000,1095120100000006,度假酒店,1095120110000007,1095120110000007,,1,9,zstx,2023-12-03 13:45:08,qidekang,2024-01-21 14:26:09,0,0
72,815,1096120110005009,1095120100000006,隔离场所,1095120110000007,1095120110000007,,1,11,zstx,2023-12-03 13:45:15,qidekang,2024-01-21 14:26:09,0,0
73,816,1096120120001000,1095120100000006,住户,1095120120000008,1095120120000008,,1,999,zstx,2023-12-03 13:45:23,system_user,2024-01-21 14:26:09,0,0
74,817,1096120210001002,1095120200000009,参会地点,109512021000000a,109512021000000a,,1,999,zstx,2023-12-03 13:47:40,zstx,2024-01-21 14:26:09,0,0
75,818,109612021000200b,1095120200000009,游览景点,109512021000000a,109512021000000a,,1,999,zstx,2023-12-03 13:47:50,zstx,2024-01-21 14:26:09,0,0
76,819,1096120210003007,1095120200000009,就餐饭店,109512021000000a,109512021000000a,,1,999,zstx,2023-12-03 13:48:06,guochengjie,2024-01-21 14:26:09,1,0
77,820,1096120220001003,1095120200000009,参会人员,109512022000000b,109512022000000b,,1,999,zstx,2023-12-03 13:48:28,guochengjie,2024-01-21 14:26:09,1,0
78,821,109612022000200c,1095120200000009,游客,109512022000000b,109512022000000b,,1,999,zstx,2023-12-03 13:48:37,zstx,2024-01-21 14:26:09,0,0
79,822,1096120220003008,1095120200000009,顾客,109512022000000b,109512022000000b,,1,999,zstx,2023-12-03 13:48:46,zstx,2024-01-21 14:26:09,0,0
80,823,1096120310001005,109512030000000c,路过地点,1095120310000000,1095120310000000,,1,999,zstx,2023-12-03 13:49:38,system_user,2024-01-21 14:26:09,0,0
81,824,1096120320001006,109512030000000c,过路人员,1095120320000001,1095120320000001,,1,999,zstx,2023-12-03 13:49:47,system_user,2024-01-21 14:26:09,0,0
82,825,1096120410001008,1095120400000002,建设的房屋,1095120410000003,1095120410000003,,1,999,zstx,2023-12-03 13:50:22,guochengjie,2024-01-21 14:26:09,0,0
83,826,1096120420001009,1095120400000002,建设工人,1095120420000004,1095120420000004,,1,999,zstx,2023-12-03 13:50:29,zstx,2024-01-21 14:26:09,0,0
84,832,1096120710001004,109512070000000b,管辖区域,109512071000000c,109512071000000c,,1,999,zstx,2023-12-04 06:35:16,zstx,2024-01-21 14:26:09,0,0
85,833,1096120720001005,109512070000000b,场所负责人,1095120720000000,1095120720000000,,1,999,zstx,2023-12-04 06:35:27,zstx,2024-01-21 14:26:09,0,0
86,834,1096120810001007,1095120800000001,维护区域,1095120810000002,1095120810000002,,1,999,zstx,2023-12-04 06:36:14,developuser,2024-01-21 14:26:09,1,0
87,835,1096120820001008,1095120800000001,维修工,1095120820000003,1095120820000003,,1,999,zstx,2023-12-04 06:36:22,admin,2024-01-21 14:26:09,1,0
88,839,1096130110001000,1095130100000007,发起活动,1095130110000008,1095130110000008,,1,999,zstx,2023-12-04 06:38:22,system_user,2024-01-21 14:26:09,0,0
89,840,1096130110002009,1095130100000007,引发事件,1095130110000008,1095130110000008,,1,999,zstx,2023-12-04 06:38:29,system_user,2024-01-21 14:26:09,0,0
90,841,1096130120001001,1095130100000007,当事人,1095130120000009,1095130120000009,,1,0,zstx,2023-12-04 06:38:42,qidekang,2024-01-21 14:26:09,0,0
91,842,109613012000200a,1095130100000007,发起人,1095130120000009,1095130120000009,,1,1,zstx,2023-12-04 06:38:50,qidekang,2024-01-21 14:26:09,0,0
92,843,1096130120003006,1095130100000007,制定者,1095130120000009,1095130120000009,,1,2,zstx,2023-12-04 06:38:57,qidekang,2024-01-21 14:26:09,0,0
93,844,1096130120004002,1095130100000007,主持人,1095130120000009,1095130120000009,,1,3,zstx,2023-12-04 06:39:05,qidekang,2024-01-21 14:26:09,0,0
94,845,1096130210001003,109513020000000a,执行任务,109513021000000b,109513021000000b,,1,999,zstx,2023-12-04 06:39:54,system_user,2024-01-21 14:26:09,0,0
95,846,109613021000200c,109513020000000a,参加活动,109513021000000b,109513021000000b,,1,999,zstx,2023-12-04 06:40:02,system_user,2024-01-21 14:26:09,0,0
96,847,1096130210003008,109513020000000a,参与事项,109513021000000b,109513021000000b,,1,999,zstx,2023-12-04 06:40:08,guochengjie,2024-01-21 14:26:09,0,0
97,848,1096130220001004,109513020000000a,执行人,109513022000000c,109513022000000c,,1,999,zstx,2023-12-04 06:40:19,guochengjie,2024-01-21 14:26:09,1,0
98,849,1096130220002000,109513020000000a,参与者,109513022000000c,109513022000000c,,1,999,zstx,2023-12-04 06:40:27,system_user,2024-01-21 14:26:09,0,0
99,850,1096130220003009,109513020000000a,活动嘉宾,109513022000000c,109513022000000c,,1,999,zstx,2023-12-04 06:40:34,zstx,2024-01-21 14:26:09,0,0
100,851,1096130220004005,109513020000000a,活动赞助人,109513022000000c,109513022000000c,,1,999,zstx,2023-12-04 06:41:14,system_user,2024-01-21 14:26:09,0,0
101,852,1096130310001006,1095130300000000,上报事件,1095130310000001,1095130310000001,,1,999,zstx,2023-12-04 06:42:04,system_user,2024-01-21 14:26:09,0,0
102,853,1096130310002002,1095130300000000,移交事件,1095130310000001,1095130310000001,,1,999,zstx,2023-12-04 06:42:15,system_user,2024-01-21 14:26:09,0,0
103,854,109613031000300b,1095130300000000,下发事件,1095130310000001,1095130310000001,,1,999,zstx,2023-12-04 06:42:23,system_user,2024-01-21 14:26:09,0,0
104,855,1096130310004007,1095130300000000,办结事件,1095130310000001,1095130310000001,,1,999,zstx,2023-12-04 06:42:35,system_user,2024-01-21 14:26:09,0,0
105,856,1096130320001007,1095130300000000,经办人,1095130320000002,1095130320000002,,1,0,zstx,2023-12-04 06:42:45,guochengjie,2024-01-21 14:26:09,0,0
106,857,1096130320002003,1095130300000000,接办员,1095130320000002,1095130320000002,,1,1,zstx,2023-12-04 06:42:52,guochengjie,2024-01-21 14:26:09,0,0
107,858,109613032000300c,1095130300000000,审批人,1095130320000002,1095130320000002,,1,2,zstx,2023-12-04 06:42:59,guochengjie,2024-01-21 14:26:09,0,0
108,859,1096130410001009,1095130400000003,督办事件,1095130410000004,1095130410000004,,1,999,zstx,2023-12-04 06:43:44,system_user,2024-01-21 14:26:09,0,0
109,860,1096130410002005,1095130400000003,抽检事件,1095130410000004,1095130410000004,,1,999,zstx,2023-12-04 06:43:53,system_user,2024-01-21 14:26:09,0,0
110,861,1096130410003001,1095130400000003,监控事件,1095130410000004,1095130410000004,,1,999,zstx,2023-12-04 06:44:01,system_user,2024-01-21 14:26:09,0,0
111,862,109613042000100a,1095130400000003,督办人员,1095130420000005,1095130420000005,,1,999,zstx,2023-12-04 06:44:13,zstx,2024-01-21 14:26:09,0,0
112,863,1096130420002006,1095130400000003,监理人员,1095130420000005,1095130420000005,,1,999,zstx,2023-12-04 06:44:22,system_user,2024-01-21 14:26:09,0,0
113,867,1096140110001001,1095140100000008,设计作品,1095140110000009,1095140110000009,,1,999,zstx,2023-12-04 08:25:53,guochengjie,2024-01-21 14:26:09,0,0
114,872,1096140120001002,1095140100000008,设计师,109514012000000a,109514012000000a,,1,999,zstx,2023-12-04 08:27:04,system_user,2024-01-21 14:26:09,0,0
115,877,1096140210001004,109514020000000b,生产产品,109514021000000c,109514021000000c,,1,999,zstx,2023-12-04 08:29:37,system_user,2024-01-21 14:26:09,0,0
116,878,1096140210002000,109514020000000b,雕刻作品,109514021000000c,109514021000000c,,1,999,zstx,2023-12-04 08:29:46,system_user,2024-01-21 14:26:09,0,0
117,879,1096140210003009,109514020000000b,绘制作品,109514021000000c,109514021000000c,,1,999,zstx,2023-12-04 08:29:55,system_user,2024-01-21 14:26:09,0,0
118,880,1096140220001005,109514020000000b,制作人,1095140220000000,1095140220000000,,1,0,zstx,2023-12-04 08:30:08,guochengjie,2024-01-21 14:26:09,0,0
119,881,1096140220002001,109514020000000b,视频剪辑师,1095140220000000,1095140220000000,,1,1,zstx,2023-12-04 08:30:15,guochengjie,2024-01-21 14:26:09,0,0
