"id","property_code","property_name","property_name_cn","attributes","category_code","crowd_stat","category_type","property_type","serial_number","create_user","create_time","modify_user","modify_time","del_stat","version_no","identify_type"
"88","10a5110200400008","type","冲突类型","经济纠纷, 资源冲突, 产权纠纷, 身体冲突, 言语纠纷, 文化冲突","1095110200000008",NULL,"0","0","999","test_user","2023-04-17 11:16:01","admin","2024-04-18 20:26:15","0","0",NULL
"89","10a511020050000b","cause","冲突原因","事故, 目标不同, 分配不均, 沟通不畅","1095110200000008",NULL,"0","0","999","test_user","2023-04-17 11:16:01","admin","2024-04-18 20:26:19","0","0",NULL
"90","10a5110200600001","consequence","冲突后果","财产损失, 人身伤害, 精神损失","1095110200000008",NULL,"0","0","999","test_user","2023-04-17 11:16:02","admin","2024-04-18 20:26:23","0","0",NULL
"91","10a5110300200005","duration","持续时长",,"109511030000000b",NULL,"0","0","7","test_user","2023-04-17 11:16:02","admin","2024-04-18 21:17:10","0","0",NULL
"92","10a5110300300008","end_time","管理结束时间",,"109511030000000b",NULL,"0","0","999","test_user","2023-04-17 11:16:03","admin","2024-04-18 20:28:44","1","0",NULL
"93","10a511030040000b","mode","管理方式","直接, 间接","109511030000000b",NULL,"0","0","1","test_user","2023-04-17 11:16:03","admin","2024-04-18 20:27:07","0","0",NULL
"94","10a5110300500001","according_to_regulations","依据条例","部门管理条例, 道路行驶规则, 禁止乱搭乱建制度","109511030000000b",NULL,"0","0","2","system_user","2023-04-17 11:16:04","admin","2024-01-21 14:39:30","0","0",NULL
"95","10a5110300600004","scope_of_authority","权限范畴","全面管理, 业务管理, 人事管理, 财务管理","109511030000000b",NULL,"0","0","3","system_user","2023-04-17 11:16:04","admin","2024-01-21 14:39:30","0","0",NULL
"96","10a5110300700007","evaluation_result","效果评价","效率高, 效果好, 效率低, 效果好","109511030000000b",NULL,"0","0","4","test_user","2023-04-17 11:16:05","admin","2024-04-18 20:28:06","0","0",NULL
"97","10a5110400200008","duration","合作时长",,"1095110400000001",NULL,"0","0","999","test_user","2023-04-17 11:16:06","admin","2024-04-25 06:17:28","0","0",NULL
"98","10a511040030000b","end_time","合作结束时间",,"1095110400000001",NULL,"0","0","999","test_user","2023-04-17 11:16:06","admin","2024-04-18 20:30:36","1","0",NULL
"99","10a5110400400001","type","协作类型","资源协作, 技术协作, 信息协作","1095110400000001",NULL,"0","0","999","test_user","2023-04-17 11:16:07","admin","2024-04-18 20:29:37","0","0",NULL
"100","10a5110400500004","division_of_responsibilities","职责分工",,"1095110400000001",NULL,"0","0","999","system_user","2023-04-17 11:16:08","system_user","2024-01-21 14:39:30","0","0",NULL
"101","10a5110400600007","purpose","合作目的","提升效率, 降低成本","1095110400000001",NULL,"0","0","999","test_user","2023-04-17 11:16:08","admin","2024-04-18 20:29:46","0","0",NULL
"102","10a511040070000a","evaluation_result","效果评价","配合默契, 沟通通畅, 协作及时, 态度积极","1095110400000001",NULL,"0","0","999","test_user","2023-04-17 11:16:09","admin","2024-04-18 20:29:54","0","0",NULL
"103","10a5110400800000","process","合作进程",,"1095110400000001",NULL,"0","0","999","test_user","2023-04-17 11:16:09","admin","2024-04-18 20:30:01","0","0",NULL
"104","10a511050020000b","duration","指导时长",,"1095110500000004",NULL,"0","0","999","test_user","2023-04-17 11:16:10","admin","2024-04-18 21:17:21","0","0",NULL
"105","10a5110500300001","end_time","指导结束时间",,"1095110500000004",NULL,"0","0","999","test_user","2023-04-17 11:16:10","admin","2024-04-18 20:36:10","1","0",NULL
"106","10a5110500400004","role","身份角色","老师, 顾问, 执教","1095110500000004",NULL,"0","0","999","test_user","2023-04-17 11:16:11","admin","2024-04-18 20:37:15","0","0",NULL
"107","10a5110500500007","direction","讲授方向","数学, 物理, 足球, 篮球","1095110500000004",NULL,"0","0","999","test_user","2023-04-17 11:16:11","admin","2024-04-18 20:36:58","0","0",NULL
"108","10a511050060000a","tool","教学工具","专业书籍, 实验设备, 体育用品","1095110500000004",NULL,"0","0","999","test_user","2023-04-17 11:16:12","admin","2024-04-18 20:37:26","0","0",NULL
"109","10a5110500700000","mode","指导方式","线上, 线下, 理论, 实操","1095110500000004",NULL,"0","0","999","test_user","2023-04-17 11:16:12","admin","2024-04-18 20:37:35","0","0",NULL
"110","10a5110500800003","evaluation_result","效果评价","评价反馈优，考核绩效优, 评价反馈差，考核绩效优","1095110500000004",NULL,"0","0","999","test_user","2023-04-17 11:16:13","admin","2024-04-18 20:37:42","0","0",NULL
"111","10a5110500900006","frequency","指导频次","一天一次, 每周一次","1095110500000004",NULL,"0","0","999","test_user","2023-04-17 11:16:14","admin","2024-04-18 20:37:58","0","0",NULL
"112","10a5110500a00009","purpose","指导目的","技能提升, 业务提升","1095110500000004",NULL,"0","0","999","test_user","2023-04-17 11:16:14","admin","2024-04-18 20:38:06","0","0",NULL
"113","10a5110600200001","duration","时间",,"1095110600000007",NULL,"0","0","999","test_user","2023-04-17 11:16:15","admin","2024-04-29 08:30:21","1","0",NULL
"114","10a5110600300004","end_time","结束时间",,"1095110600000007",NULL,"0","0","999","system_user","2023-04-17 11:16:15","system_user","2024-04-29 08:30:21","1","0",NULL
"115","10a5110600400007","type","血缘类型","直系血缘亲属, 旁系血缘亲属,","1095110600000007",NULL,"0","0","999","test_user","2023-04-17 11:16:16","admin","2024-04-29 08:30:21","1","0",NULL
"116","10a511060050000a","appellation","称谓","父亲, 母亲, 儿子, 女儿, 祖父/外祖父, 祖母/外祖母, 哥哥/弟弟, 姐姐/妹妹, 孙子/外孙子, 孙女/外孙女, 叔伯/舅舅, 姑父/姨父, 堂/表兄弟, 堂/表姐妹, 侄子/外甥, 侄女/外甥女","1095110600000007",NULL,"0","0","999","system_user","2023-04-17 11:16:16","system_user","2024-04-29 08:30:21","1","0",NULL
"117","10a5110700200004","duration","时间",,"109511070000000a",NULL,"0","0","999","test_user","2023-04-17 11:16:17","admin","2024-04-29 08:30:21","1","0",NULL
"118","10a5110700300007","end_time","结束时间",,"109511070000000a",NULL,"0","0","999","system_user","2023-04-17 11:16:18","system_user","2024-04-29 08:30:21","1","0",NULL
"119","10a511070040000a","type","类型","新婚, 二婚, 复婚, 离异","109511070000000a",NULL,"0","0","999","test_user","2023-04-17 11:16:18","test_user","2024-04-29 08:30:21","1","0",NULL
"120","10a5110700500000","marriage_and_childbearing_situation","婚育情况","无, 独生子女, 二胎, 三胎","109511070000000a",NULL,"0","0","999","system_user","2023-04-17 11:16:19","system_user","2024-04-29 08:30:21","1","0",NULL
"121","10a5110700600003","appellation","称谓","丈夫, 妻子, 前妻, 前夫","109511070000000a",NULL,"0","0","999","system_user","2023-04-17 11:16:19","system_user","2024-04-29 08:30:21","1","0",NULL
"122","10a5110700700006","related_kin","关联亲属","丈夫, 妻子, 岳父/公公, 岳母/婆婆, 嫂子/弟媳, 姐夫/妹夫, 女婿, 儿媳, 婶婶/舅妈, 婶婶/舅妈, 继父, 继母, 继子, 继女, 配偶的侄子/外甥, 配偶的侄女/外甥女","109511070000000a",NULL,"0","0","999","system_user","2023-04-17 11:16:20","system_user","2024-04-29 08:30:21","1","0",NULL
"123","10a5110700800009","mode","方式","登记婚姻, 事实婚姻","109511070000000a",NULL,"0","0","999","test_user","2023-04-17 11:16:20","test_user","2024-04-29 08:30:21","1","0",NULL
"124","10a5110800200007","duration","时间",,"1095110800000000",NULL,"0","0","999","test_user","2023-04-17 11:16:21","admin","2024-04-29 08:30:21","1","0",NULL
"125","10a511080030000a","end_time","结束时间",,"1095110800000000",NULL,"0","0","999","system_user","2023-04-17 11:16:21","system_user","2024-04-29 08:30:21","1","0",NULL
"126","10a5110800400000","type","类型","收养，领养","1095110800000000",NULL,"0","0","999","test_user","2023-04-17 11:16:22","test_user","2024-04-29 08:30:21","1","0",NULL
"127","10a5110800500003","appellation","称谓","养父/养母, 养子/养女","1095110800000000",NULL,"0","0","999","system_user","2023-04-17 11:16:22","system_user","2024-04-29 08:30:21","1","0",NULL
"128","10a5120100200000","duration","驻留时长",,"1095120100000006",NULL,"0","0","999","test_user","2023-04-17 11:16:23","admin","2024-04-18 21:18:02","0","0",NULL
"129","10a5120100300003","end_time","离开时间",,"1095120100000006",NULL,"0","0","999","test_user","2023-04-17 11:16:24","admin","2024-04-18 21:03:20","0","0",NULL
"130","10a5120100400006","type","常驻类型","家庭居住, 工作场所, 外出派驻, 法律管控, 学校进修, 旅游度假, 医学隔离","1095120100000006",NULL,"0","0","999","test_user","2023-04-17 11:16:24","admin","2024-04-18 20:43:17","0","0",NULL
"131","10a5120100500009","residence_fee_option","费用负担方式","自有购买, 个人租赁, 个人支付, 单位承担, 政府安置, 受赠继承","1095120100000006",NULL,"0","0","999","test_user","2023-04-17 11:16:25","admin","2024-04-28 13:11:23","0","0",NULL
"132","10a512010060000c","amount_of_expense","驻留费用",,"1095120100000006",NULL,"0","0","999","test_user","2023-04-17 11:16:25","qidekang","2024-07-24 15:30:32","0","0",NULL
"133","10a5120100700002","duration_type","驻留周期","持续驻留, 工作日驻留, 周末驻留, 每周1~3天, 每周4~6天","1095120100000006",NULL,"0","0","999","system_user","2023-04-17 11:16:26","system_user","2024-01-21 14:39:30","0","0",NULL
"134","10a5120200200003","duration","停留时长",,"1095120200000009",NULL,"0","0","999","test_user","2023-04-17 11:16:26","admin","2024-04-21 22:22:52","0","0",NULL
"135","10a5120200300006","end_time","离开时间",,"1095120200000009",NULL,"0","0","999","test_user","2023-04-17 11:16:27","admin","2024-04-18 21:10:58","0","0",NULL
"136","10a5120200400009","purpose","到访目的","上班工作, 逛街购物, 会议研讨, 婚礼庆典, 聚餐宴请, 核酸检测, 隔离转运, 承诺签署","1095120200000009",NULL,"0","0","999","test_user","2023-04-17 11:16:28","admin","2024-04-18 21:10:16","0","0",NULL
"137","10a512020050000c","cost","入场费用",,"1095120200000009",NULL,"0","0","999","test_user","2023-04-17 11:16:28","admin","2024-04-18 21:10:46","0","0",NULL
"138","10a5120200600002","state","到访状态","正在访问，曾经到访","1095120200000009",NULL,"0","0","999","test_user","2023-04-17 11:16:29","admin","2024-04-18 21:13:10","0","0",NULL
"139","10a5120200700005","frequency","到访频次","每周一次, 一年一次, 一次性","1095120200000009",NULL,"0","0","999","test_user","2023-04-17 11:16:30","admin","2024-04-18 21:13:27","0","0",NULL
"140","10a5120200800008","requirement","入场要求","出具邀请函, 健康宝绿码, 开具罚单","1095120200000009",NULL,"0","0","999","test_user","2023-04-17 11:16:30","admin","2024-04-18 21:13:36","0","0",NULL
"141","10a5120300200006","duration","耗费时长",,"109512030000000c",NULL,"0","0","999","test_user","2023-04-17 11:16:31","admin","2024-04-28 13:17:17","0","0",NULL
"142","10a5120300300009","end_time","结束时间",,"109512030000000c",NULL,"0","0","999","system_user","2023-04-17 11:16:32","admin","2024-01-21 14:39:30","1","0",NULL
"143","10a512030040000c","frequency","途经频次","每周一次, 每月一次, 不定时间","109512030000000c",NULL,"0","0","999","test_user","2023-04-17 11:16:32","admin","2024-04-18 21:14:47","0","0",NULL
"144","10a5120300500002","influence","影响","垃圾外溢, 事故风险, 行程码带星, 健康码变黄, 疫情外溢传播, 无法入境","109512030000000c",NULL,"0","0","999","system_user","2023-04-17 11:16:33","system_user","2024-01-21 14:39:30","0","0",NULL
"145","10a5120400200009","duration","建设时长",,"1095120400000002",NULL,"0","0","999","test_user","2023-04-17 11:16:33","admin","2024-04-18 21:22:09","0","0",NULL
"146","10a512040030000c","end_time","完工时间",,"1095120400000002",NULL,"0","0","999","test_user","2023-04-17 11:16:34","admin","2024-04-18 21:21:57","0","0",NULL
"147","10a5120400400002","type","建设类型","新建, 改造, 设计","1095120400000002",NULL,"0","0","999","test_user","2023-04-17 11:16:35","admin","2024-04-18 21:22:19","0","0",NULL
"148","10a5120400500005","role","角色","设计师, 工长, 工人, 投资人","1095120400000002",NULL,"0","0","999","system_user","2023-04-17 11:16:35","system_user","2024-01-21 14:39:30","0","0",NULL
"149","10a5120400600008","time_limit","施工工期",,"1095120400000002",NULL,"0","0","999","test_user","2023-04-17 11:16:36","admin","2024-04-18 21:22:50","0","0",NULL
"150","10a512040070000b","process","建设进程",,"1095120400000002",NULL,"0","0","999","test_user","2023-04-17 11:16:36","admin","2024-04-18 21:23:06","0","0",NULL
"151","10a5120400800001","motivation","建造原因","合同履约, 自用, 创造收入","1095120400000002",NULL,"0","0","999","test_user","2023-04-17 11:16:37","admin","2024-04-18 21:23:20","0","0",NULL
"152","10a5120400900004","requirement","技能要求","二级建造师, 造价师, 电焊师","1095120400000002",NULL,"0","0","999","test_user","2023-04-17 11:16:37","admin","2024-04-18 21:23:31","0","0",NULL
"153","10a5120400a00007","evaluation_result","评估结果","达标, 不达标","1095120400000002",NULL,"0","0","999","system_user","2023-04-17 11:16:38","system_user","2024-01-21 14:39:30","0","0",NULL
"154","10a5120400b0000a","cost","建设成本",,"1095120400000002",NULL,"0","0","999","test_user","2023-04-17 11:16:38","admin","2024-04-18 21:23:40","0","0",NULL
"155","10a512050020000c","duration","持有时长",,"1095120500000005",NULL,"0","0","3","test_user","2023-04-17 11:16:39","guochengjie","2024-04-18 21:24:42","0","0",NULL
"156","10a5120500300002","end_time","持有结束时间",,"1095120500000005",NULL,"0","0","999","test_user","2023-04-17 11:16:39","admin","2024-04-18 21:31:07","1","0",NULL
"157","10a5120500400005","source","来源方式","自建, 购买, 赠与, 奖励, 分配","1095120500000005",NULL,"0","0","4","test_user","2023-04-17 11:16:40","guochengjie","2024-04-18 21:32:05","0","0",NULL
"158","10a5120500500008","acquisition_cost","获取成本",,"1095120500000005",NULL,"0","0","999","system_user","2023-04-17 11:16:41","admin","2024-01-21 14:39:30","1","0",NULL
"159","10a512050060000b","cost_of_ownership","拥有成本",,"1095120500000005",NULL,"0","0","999","system_user","2023-04-17 11:16:41","admin","2024-01-21 14:39:30","1","0",NULL
"160","10a5120500700001","scope_of_authority","权限范畴","拥有权, 使用权","1095120500000005",NULL,"0","0","5","system_user","2023-04-17 11:16:42","guochengjie","2024-01-21 14:39:30","0","0",NULL
"161","10a5120500800004","use","用途","居住, 租赁, 生产","1095120500000005",NULL,"0","0","6","system_user","2023-04-17 11:16:42","guochengjie","2024-01-21 14:39:30","0","0",NULL
"162","10a5120500900007","evaluation","评估结果","合法, 违法","1095120500000005",NULL,"0","0","7","test_user","2023-04-17 11:16:43","guochengjie","2024-04-18 21:32:25","0","0",NULL
